;X;Unnamed..0;StartDate;EndDate;Status;Progress;Duration..in.seconds.;Finished;RecordedDate;ResponseId;DistributionChannel;UserLanguage;consent_q;google.acct;att_1;att_2;entertain_predict_3;lonely_predict_3;novel_predict_3;engage_predict_3;comfort_predict_3;interest_predict_3;connect_predict_3;entertain_predict_3.1;lonely_predict_3.1;novel_predict_3.1;engage_predict_3.1;comfort_predict_3.1;interest_predict_3.1;connect_predict_3.1;lonely_1_3;lonely_2_3;lonely_3_3;lonely_4_3;mturk_id;completion_code;timer_First.Click;timer_Last.Click;timer_Page.Submit;timer_Click.Count;screenshot_Id;screenshot_Name;screenshot_Size;screenshot_Type;noInteraction_timer_First.Click;noInteraction_timer_Last.Click;noInteraction_timer_Page.Submit;noInteraction_timer_Click.Count;entertain_exp_3;lonely_exp_3;novel_exp_3;engage_exp_3;comfor_exp_3;interest_exp_3;connect_exp_3;entertain_exp_3.1;lonely_exp_3.1;novel_exp_3.1;engage_exp_3.1;comfort_exp_3;interest_exp_3.1;connected_exp_3;lonely_1_after_3;lonely_2_after_3;lonely_3_after_3;lonely_4_after_3;comp_1;comp_2;able_nothing;able_nothing_explain;believe_q;explain;ai_attitude_1_6;ai_attitude_2_1;ai_attitude_3_1;ai_attitude_4_1;ai_attitude_5_1;ai_attitude_6_1;ai_attitude_7_1;ai_attitude_8_1;ai_attitude_9_1;ai_attitude_10_1;ai_attitude_11_1;ai_attitude_12_1;ai_attitude_13_1;ai_attitude_14_1;ai_attitude_15_1;ai_attitude_16_1;chatbot;chatbot_exp;gender;gender_4_TEXT;ethnicity;ethnicity_6_TEXT;age;edu;edu_8_TEXT;workerId;condition_2;condition
311;310;310;2023-04-06 07:28:10;2023-04-06 07:50:46;0;100;1356;1;2023-04-06 07:50:58;R_BRlGJxoq5sjEOVX;anonymous;EN;1;1;2;2;;;;;;;;60;50;56;71;60;63;50;0;54;51;27;311;;1.17;913.289;913.898;15;F_3PN2iTffZ8fka1Z;YouTube History.pdf;1592176;application/pdf;;;;;;;;;;;;67;38;33;56;42;70;39;0;74;77;54;2;1;;;;;;;;;;;;;;;;;;;;;2;;2;;3;;26;4;;311;0;youtube
312;311;311;2023-04-06 07:26:43;2023-04-06 07:51:13;0;100;1470;1;2023-04-06 07:51:14;R_ey3RgWojGnnLTax;anonymous;EN;1;1;2;2;;;;;;;;8;60;7;46;2;11;29;5;5;5;5;312;0387-1306-6078-6776;;;;;;;;;;;;;;;;;;;;35;6;14;26;41;31;40;90;9;5;3;1;1;;;2;because she did not respond the way a person normally would to my questions. Also, she was not getting paid???;95;65;60;95;98;90;95;90;60;10;10;10;90;30;10;55;1;Most tech support is now chatobot. That is where I have done it.;1;;3;;38;5;;312;ai;another person
313;312;312;2023-04-06 07:23:58;2023-04-06 07:52:58;0;100;1740;1;2023-04-06 07:52:58;R_7WbL4ztQc1G90WZ;anonymous;EN;1;1;2;2;;;;;;;;40;40;35;55;50;61;40;0;0;0;0;313;2677-2188-7663-0285;;;;;;;;;;;;;;;;;;;;70;70;70;70;70;70;70;0;0;0;0;1;1;;;1;The responses were quick and the questions were pretty specific about what I was saying;84;45;60;100;70;100;70;100;80;0;0;80;50;55;0;85;1;With many chatbots for services and apps I use;1;;2;;28;4;;313;0;conversational AI companion
314;313;313;2023-04-06 07:30:30;2023-04-06 07:53:01;0;100;1351;1;2023-04-06 07:53:01;R_VI4QkLNsL7wJoM9;anonymous;EN;1;1;2;2;50;50;50;50;50;50;50;;;;;;;;50;50;50;50;314;;;;;;;;;;16.294;16.294;916.302;1;50;50;50;50;50;50;50;;;;;;;;100;100;91;100;1;1;1;It was easy to do consideringi spend hours doing absolutely nothing on the daily;;;;;;;;;;;;;;;;;;;2;;2;;1;;34;4;;314;0;nothing
315;314;314;2023-04-06 07:33:57;2023-04-06 07:53:01;0;100;1143;1;2023-04-06 07:53:01;R_0ih37Eh8gq81exj;anonymous;EN;1;1;2;2;69;67;69;68;66;63;65;;;;;;;;67;67;68;68;315;;;;;;;;;;4.177;808.21;906.253;2;71;72;67;67;68;64;67;;;;;;;;67;66;69;65;1;1;1;I sat here and did nothing;;;;;;;;;;;;;;;;;;;2;;1;;3;;44;3;;315;0;nothing
316;315;315;2023-04-06 07:32:19;2023-04-06 07:55:58;0;100;1419;1;2023-04-06 07:55:59;R_2fvLMBOEENin9gS;anonymous;EN;1;1;2;2;;;;;;;;68;9;74;58;50;61;24;71;53;55;53;316;6812-8744-4850-6953;;;;;;;;;;;;;;;;;;;;0;50;6;26;50;31;33;58;60;60;60;2;1;;;2;It was similar to how conversations with a chatbot usually go;52;48;13;40;50;36;56;41;56;77;100;61;0;87;85;50;1;I have talked to an early version on AIM in the 90s and in other surveys recently. I have also used that app that guesses who you are thinking of... is that AI?;2;;3;;35;4;;316;0;conversational AI companion
317;316;316;2023-04-06 07:35:56;2023-04-06 07:57:49;0;100;1313;1;2023-04-06 07:57:50;R_10HIbW42WKS6hWg;anonymous;EN;1;1;2;2;;;;;;;;66;50;91;85;50;70;50;77;85;90;86;317;5689-9018-9571-5866;;;;;;;;;;;;;;;;;;;;57;50;63;70;50;65;50;82;80;85;77;2;1;;;2;I was told I’d be chatting with AI. And the responses are what is to be expected from AI. ;72;71;68;92;50;50;43;93;100;50;41;66;50;60;68;50;1;Chat bot apps. Like fake friends. ;1;;3;;42;3;;317;0;conversational AI companion
318;317;317;2023-04-06 07:28:41;2023-04-06 07:57:49;0;100;1748;1;2023-04-06 07:57:50;R_01w8NViDO2DVbEZ;anonymous;EN;1;1;2;2;;;;;;;;30;71;65;50;10;25;25;100;100;100;100;318;2418-3025-2424-8725;;;;;;;;;;;;;;;;;;;;73;30;82;82;82;71;72;100;100;100;100;2;1;;;2;During the coversation, it felt like the responses avoided saying anything specific about the topic.;70;91;100;93;80;100;11;80;37;17;0;0;100;0;0;100;2;;1;;4;;29;1;;318;ai;another person
319;318;318;2023-04-06 07:34:08;2023-04-06 07:58:41;0;100;1472;1;2023-04-06 07:58:41;R_2BngUX8rqPOkkxb;anonymous;EN;1;1;2;2;;;;;;;;50;40;81;60;50;54;60;10;13;12;10;319;5538-6873-2884-3496;;;;;;;;;;;;;;;;;;;;81;46;77;68;62;79;57;12;12;29;9;3;1;;;2;The chat bot made an error of saying it did not have any furry friends, but then later said it did have a pup.;67;65;69;67;61;59;76;63;57;54;77;56;51;61;50;26;1;I have interacted with business chat bots during a purchase or when I had a question.  ;2;;4;;35;4;;319;ai;another person
320;319;319;2023-04-06 07:33:07;2023-04-06 08:00:41;0;100;1653;1;2023-04-06 08:00:43;R_2TY6z68t5f8vF0r;anonymous;EN;1;1;2;2;;;;;;;;100;0;89;81;100;100;100;0;1;0;0;320;;11.287;479.433;481.465;8;F_1KdpFgez2gmgCrB;Screenshot 2023-04-06 065458.png;165333;image/png;;;;;;;;;;;;100;0;100;100;100;100;100;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;2;;2;;3;;34;1;;320;0;youtube
321;320;320;2023-04-06 07:31:41;2023-04-06 08:00:43;0;100;1741;1;2023-04-06 08:00:43;R_33EjZBzKv89ckpH;anonymous;EN;1;1;2;2;;;;;;;;70;50;75;70;35;75;70;20;15;0;0;321;1565-6909-0222-5869;;;;;;;;;;;;;;;;;;;;75;50;85;75;70;80;75;10;5;0;0;2;1;;;2;The responses came very quickly and were very systematic. Response, information, then question.;60;0;50;60;65;25;50;75;50;40;55;0;40;60;75;50;1;Chatbots have basically replaced customer service, so I have interacted with chatbots online with insurance, shopping, health care...;2;;3;;58;4;;321;ai;another person
322;321;321;2023-04-06 07:37:23;2023-04-06 08:01:33;0;100;1449;1;2023-04-06 08:01:34;R_bfnIEZWAMktuuI1;anonymous;EN;1;1;2;2;15;60;50;30;55;60;30;;;;;;;;20;55;30;35;322;;;;;;;;;;15.394;15.394;922.3;1;25;55;0;25;45;0;30;;;;;;;;10;55;30;30;3;1;1; I didn't interact with anyone or anything, other than to watch the timer provided count down.;;;;;;;;;;;;;;;;;;;1;I have interacted with chatbots before, usually in customer service roles.;1;;3;;47;4;;322;0;nothing
323;322;322;2023-04-06 07:27:16;2023-04-06 08:02:11;0;100;2095;1;2023-04-06 08:02:13;R_3lMkVGk2mlTwOvp;anonymous;EN;1;1;2;2;;;;;;;;44;59;56;40;50;43;38;53;59;47;50;323;;288.73;288.73;506.333;1;F_2ttJoRGNtZZVUQI;April 6 AMT HIT YT History.png;718586;image/png;;;;;;;;;;;;80;50;64;70;58;90;65;45;54;37;45;3;1;;;;;;;;;;;;;;;;;;;;;1;On several studies I've completed, chatbots were either an integral part of a task (simulated conversations, customer service interactions, etc.) or were actually directing/ narrating the task I had chosen to work within.;1;;3;;67;4;;323;0;youtube
324;323;323;2023-04-06 07:46:49;2023-04-06 08:07:03;0;100;1213;1;2023-04-06 08:07:03;R_23VjPKF1KUuwKTA;anonymous;EN;1;1;2;2;39;36;18;50;72;23;53;;;;;;;;77;81;88;93;324;;;;;;;;;;2.593;909.053;916.698;9;10;86;13;40;62;28;70;;;;;;;;93;89;93;92;2;1;1;i set my timer for 15 mins and laid in the dark;;;;;;;;;;;;;;;;;;;1;When contacting customer service ;2;;3;;31;3;;324;0;nothing
325;324;324;2023-04-06 07:49:54;2023-04-06 08:09:27;0;100;1173;1;2023-04-06 08:09:28;R_3ncTgFs8HV1Zx6Z;anonymous;EN;1;1;2;2;29;59;43;42;53;40;26;;;;;;;;31;27;37;31;325;;;;;;;;;;6.631;9.775;928.306;2;43;34;42;54;54;44;46;;;;;;;;29;26;32;25;3;1;1;I followed the instructions.;;;;;;;;;;;;;;;;;;;1;Google Bard;1;;3;;39;4;;325;0;nothing
326;325;325;2023-04-06 07:49:57;2023-04-06 08:10:10;0;100;1213;1;2023-04-06 08:10:11;R_1hMPdywCN2toorJ;anonymous;EN;1;1;2;2;92;30;83;91;80;71;90;;;;;;;;87;42;33;30;326;;;;;;;;;;19.094;19.094;923.132;1;75;61;62;53;80;78;58;;;;;;;;66;58;19;53;1;1;1;yes iam able to follow the instructions for 15 minutes ,if there is attention qustion is asked;;;;;;;;;;;;;;;;;;;2;;2;;3;;38;5;;326;0;nothing
327;326;326;2023-04-06 07:48:07;2023-04-06 08:10:52;0;100;1364;1;2023-04-06 08:10:53;R_1hX9eFQ0QdbbPfq;anonymous;EN;1;1;2;2;;;;;;;;5;1;11;11;50;0;1;36;24;63;32;327;0907-2468-9258-4416;;;;;;;;;;;;;;;;;;;;50;40;50;50;50;64;41;19;14;19;26;2;1;;;2;They claimed it was Christmas where they were.;50;50;29;50;79;50;100;50;50;43;18;40;37;40;50;39;1;I have had to use chatbots for customer service with my utility companies, as well as with some of my shopping.;2;;3;;48;3;;327;0;conversational AI companion
328;327;327;2023-04-06 07:50:38;2023-04-06 08:11:43;0;100;1265;1;2023-04-06 08:11:44;R_5ouT5CAKq6xnKMh;anonymous;EN;1;1;2;2;;;;;;;;55;27;70;70;66;66;36;16;15;19;3;328;8933-9606-3148-7205;;;;;;;;;;;;;;;;;;;;63;52;65;54;60;72;55;0;0;0;0;2;1;;;2;Because some of the responses felt very generic, but still conversational.;55;24;36;37;67;42;46;31;81;59;76;22;31;79;70;25;1;When using customer support on a couple websites.;2;;3;;43;5;;328;0;conversational AI companion
329;328;328;2023-04-06 07:42:40;2023-04-06 08:12:44;0;100;1803;1;2023-04-06 08:12:47;R_3I44PhOiKHONgSa;anonymous;EN;1;1;2;2;;;;;;;;51;60;40;42;42;51;20;52;52;57;48;329;;106.912;1040.348;1139.46;2;F_2qjSfV8iDMJNZih;youtube.zip;344378;application/zip;;;;;;;;;;;;52;40;68;71;52;85;48;52;54;54;48;2;1;;;;;;;;;;;;;;;;;;;;;1;Chatbots seem to always apear on product/service support websites when looking at something or checking for help;1;;3;;44;4;;329;0;youtube
330;329;329;2023-04-06 07:50:39;2023-04-06 08:19:32;0;100;1733;1;2023-04-06 08:19:35;R_12bDKQIFX7e7XLb;anonymous;EN;1;1;2;2;;;;;;;;59;50;51;50;50;60;50;73;51;52;62;330;;265.853;1320.898;1489.889;5;F_3qs8q0Hflof24Vk;Capture4.zip;149982;application/zip;;;;;;;;;;;;75;50;62;66;50;73;50;50;51;56;50;1;1;;;;;;;;;;;;;;;;;;;;;2;;2;;3;;35;5;;330;0;youtube
331;330;330;2023-04-06 07:57:50;2023-04-06 08:20:19;0;100;1348;1;2023-04-06 08:20:22;R_3G0TFtqXCxi7RnG;anonymous;EN;1;1;2;2;;;;;;;;80;40;50;74;70;65;60;70;76;80;65;331;;12.132;444.063;446.992;18;F_3DtPsjbGI1e8ZaK;Screenshot_20230406_091811.jpg;394501;image/jpeg;;;;;;;;;;;;90;40;55;70;80;75;71;65;65;60;60;2;1;;;;;;;;;;;;;;;;;;;;;2;;2;;3;;31;3;;331;0;youtube
332;331;331;2023-04-06 07:53:52;2023-04-06 08:20:44;0;100;1612;1;2023-04-06 08:20:44;R_3J4QuffvL2meNBX;anonymous;EN;1;1;2;2;;;;;;;;60;50;60;65;50;60;65;0;0;0;0;332;2304-6167-3708-4306;;;;;;;;;;;;;;;;;;;;20;50;50;5;20;50;5;0;0;0;0;3;1;;;1;No one showed up. A chatbox would have automatically appeared if it was one.;80;80;75;90;30;75;20;75;40;40;35;30;70;30;20;50;1;I've interacted with one thru a banking app and also thru an internet provider;2;;3;;64;3;;332;ai;another person
333;332;332;2023-04-06 07:58:46;2023-04-06 08:20:47;0;100;1321;1;2023-04-06 08:20:48;R_3NVzknICTJFWnW0;anonymous;EN;1;1;2;2;;;;;;;;10;50;6;30;50;14;20;0;10;15;5;333;1803-0083-4976-5379;;;;;;;;;;;;;;;;;;;;3;27;3;6;39;7;12;0;5;10;2;2;1;;;2;Because I was told I would be interacting with an AI.;20;0;18;10;70;10;95;60;71;89;60;50;9;100;62;6;2;;2;;3;;42;3;;333;0;conversational AI companion
334;333;333;2023-04-06 07:55:49;2023-04-06 08:21:20;0;100;1531;1;2023-04-06 08:21:21;R_yw3Ja6wVj9xNsyJ;anonymous;EN;1;1;2;2;;;;;;;;50;11;70;62;50;60;50;0;0;0;0;334;2191-6893-0073-7271;;;;;;;;;;;;;;;;;;;;83;0;92;91;92;92;90;0;0;0;0;2;1;;;2;The answers and method of dialogue were very precise. Human question and answer tends to be a little more wordy, sometimes with personal experiences interjected.;50;50;50;60;50;61;50;60;50;50;50;19;50;18;50;50;1;I have on other Amazon M Turk surveys.;2;;3;;64;5;;334;0;conversational AI companion
335;334;334;2023-04-06 07:57:42;2023-04-06 08:22:01;0;100;1459;1;2023-04-06 08:22:01;R_3qR6GbAA5SFeSs0;anonymous;EN;1;1;2;2;;;;;;;;58;70;40;38;45;32;32;34;32;32;16;335;6058-4954-8263-8594;;;;;;;;;;;;;;;;;;;;58;40;35;62;68;60;61;44;37;37;8;2;1;;;2;The responses had no emotion.;85;79;93;98;20;91;49;37;74;10;4;71;92;21;14;92;1;Customer service;1;;3;;65;4;;335;ai;another person
336;335;335;2023-04-06 08:00:07;2023-04-06 08:22:43;0;100;1356;1;2023-04-06 08:22:44;R_1CkdqIbE3kPeMbw;anonymous;EN;1;1;2;2;0;100;0;0;78;0;60;;;;;;;;59;61;50;82;336;;;;;;;;;;2.965;15.011;974.943;4;0;100;0;0;0;0;10;;;;;;;;100;100;100;100;2;1;1;I sat here and did not engage with anyone or anything in my thoughts.;;;;;;;;;;;;;;;;;;;2;;2;;5;;29;3;;336;0;nothing
337;336;336;2023-04-06 08:01:23;2023-04-06 08:23:38;0;100;1335;1;2023-04-06 08:23:39;R_1CqoVaIQUXD06aD;anonymous;EN;1;1;2;2;;;;;;;;70;40;50;70;50;70;55;0;0;0;0;337;4064-7992-3257-0397;;;;;;;;;;;;;;;;;;;;82;24;66;85;71;77;79;0;0;0;0;3;1;;;2;they started to ask alot of the same questions over again and would not get off a speciifc topic.;50;50;60;50;60;0;42;77;64;40;28;30;49;58;50;32;2;;1;;3;;44;1;;337;ai;another person
338;337;337;2023-04-06 08:24:12;2023-04-06 08:24:52;0;100;39;1;2023-04-06 08:24:52;R_3R3hExjZqmCaiXj;anonymous;EN;1;1;2;1;;;;;;;;;;;;;;;;;;;338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;338;0;conversational AI companion
339;338;338;2023-04-06 08:05:52;2023-04-06 08:24:52;0;100;1139;1;2023-04-06 08:24:53;R_1py4ayd6ITTOPR1;anonymous;EN;1;1;2;2;;;;;;;;100;30;70;100;100;90;70;30;20;10;20;339;;52.555;160.486;634.842;2;F_2WZr6gyMO0xcEvM;Screenshot 2023-04-06 102010.png;114628;image/png;;;;;;;;;;;;100;0;100;96;89;96;69;10;11;10;10;3;1;;;;;;;;;;;;;;;;;;;;;2;;1;;3;;21;1;;339;0;youtube
340;339;339;2023-04-06 08:04:22;2023-04-06 08:25:19;0;100;1257;1;2023-04-06 08:25:20;R_3sBJgzJIm26otAz;anonymous;EN;1;1;2;2;0;100;0;100;76;0;50;;;;;;;;0;96;97;0;340;;;;;;;;;;14.434;926.726;927.534;12;22;19;83;26;91;20;0;;;;;;;;0;100;100;0;2;1;1;I went into a room where no one would follow me and stood for 15 minutes.;;;;;;;;;;;;;;;;;;;1;On shopping sites. ;2;;1;;27;3;;340;0;nothing
341;340;340;2023-04-06 08:05:54;2023-04-06 08:25:58;0;100;1203;1;2023-04-06 08:25:59;R_2c8CMxSF5Zz8hZK;anonymous;EN;1;1;2;2;0;50;0;0;70;0;10;;;;;;;;0;0;0;0;341;;;;;;;;;;16.037;16.037;919.445;1;0;100;0;0;0;0;0;;;;;;;;18;10;30;25;3;1;1;I sat silently in my chair and did not touch anything. I didn't speak. I did not try to pick up my phone. I did not work on anything.;;;;;;;;;;;;;;;;;;;1;I had tried a chatbot once. I don't remember what it was but it remember it scared me.;2;;4;;31;4;;341;0;nothing
342;341;341;2023-04-06 08:06:24;2023-04-06 08:28:02;0;100;1298;1;2023-04-06 08:28:03;R_dbYfVCA9mv7BNhT;anonymous;EN;1;1;2;2;;;;;;;;45;33;54;54;45;53;43;61;39;40;43;342;5230-1851-7290-6901;;;;;;;;;;;;;;;;;;;;61;19;88;67;90;76;58;58;42;38;35;2;1;;;1;The conversation seemed so real.  They answered questions and asked relevant questions.;76;76;86;94;43;82;41;100;36;9;12;6;78;44;29;57;1;During chat with a business website;2;;3;;56;2;;342;ai;another person
343;342;342;2023-04-06 08:04:46;2023-04-06 08:28:15;0;100;1408;1;2023-04-06 08:28:17;R_2fjnhv16GwE8Jpg;anonymous;EN;1;1;2;2;;;;;;;;19;81;20;28;41;25;17;12;12;11;11;343;;13.114;532.371;612.628;16;F_6JdgTHY8AhECrol;Screenshot (4).png;307674;image/png;;;;;;;;;;;;65;39;71;55;53;63;50;6;0;0;0;3;1;;;;;;;;;;;;;;;;;;;;;2;;2;;3;;45;5;;343;0;youtube
344;343;343;2023-04-06 08:07:11;2023-04-06 08:29:38;0;100;1346;1;2023-04-06 08:29:38;R_2dMuErpsVK46DbD;anonymous;EN;1;1;2;2;;;;;;;;80;19;82;89;55;82;64;0;6;9;3;344;8101-2898-2105-0174;;;;;;;;;;;;;;;;;;;;87;13;92;84;94;94;86;30;19;16;16;3;1;;;2;because the chatbot were keep repeating same question over and over despite me responding it one time with all the info it wanted;84;79;89;83;25;90;27;88;27;27;36;19;73;12;19;74;2;;2;;2;;50;5;;344;0;conversational AI companion
345;344;344;2023-04-06 08:04:06;2023-04-06 08:33:27;0;100;1760;1;2023-04-06 08:33:27;R_2dYcO97vOHDbW9U;anonymous;EN;1;1;2;2;;;;;;;;57;0;77;17;20;16;8;17;14;10;5;345;5522-1035-2257-0499;;;;;;;;;;;;;;;;;;;;72;0;55;86;85;64;95;0;0;0;0;1;1;;;1;Jessie - had great communication skills. Was able to lead and redirect the conversation as needed.;77;66;100;75;49;19;39;77;48;14;33;16;56;62;62;37;2;;2;;3;;38;4;;345;0;conversational AI companion
346;345;345;2023-04-06 08:15:27;2023-04-06 08:39:22;0;100;1435;1;2023-04-06 08:39:23;R_2dE0HChuLhrR5jY;anonymous;EN;1;1;2;2;;;;;;;;50;42;60;60;59;50;45;30;15;15;10;346;6038-1400-9217-2626;;;;;;;;;;;;;;;;;;;;61;34;64;60;77;40;64;10;9;10;9;2;1;;;2;A couple of the messages posted twice.  Also the grammar/spelling was a little too perfect.  I mean, I think I write pretty well on the fly, but even I had a typo that snuck through.;61;57;60;71;60;78;50;76;53;65;82;43;61;66;68;55;1;I have messed around with ChatGPT a few times because I saw several news stories about it.  It has a lot of good potential, but like anything, I'm very concerned about how some people are going to pervert that and use it in detrimental ways.;2;;2;;58;4;;346;ai;another person
347;346;346;2023-04-06 08:20:20;2023-04-06 08:41:58;0;100;1297;1;2023-04-06 08:41:59;R_1eLQlwSTyhgcjBX;anonymous;EN;1;1;2;2;;;;;;;;38;50;16;17;50;20;34;12;8;5;7;347;5520-6322-3169-8027;;;;;;;;;;;;;;;;;;;;77;29;37;29;74;65;55;3;1;4;5;3;1;;;2;i was told that it would be an ai ;77;80;77;86;100;65;14;86;50;0;0;2;58;0;0;50;2;;2;;3;;31;4;;347;0;conversational AI companion
348;347;347;2023-04-06 08:18:57;2023-04-06 08:42:27;0;100;1409;1;2023-04-06 08:42:27;R_57S6kFC5CLu7ja1;anonymous;EN;1;1;2;2;;;;;;;;85;83;82;81;80;81;79;5;6;0;0;348;9695-8847-5625-2192;;;;;;;;;;;;;;;;;;;;100;0;100;100;100;100;100;8;8;0;0;3;1;;;2;It repeated some of it's questions frequently. It was definitely a chatbot.;78;68;72;72;74;89;67;83;100;28;24;88;87;100;84;80;1;Chapt gpt, DUH;1;;4;;30;4;;348;ai;another person
349;348;348;2023-04-06 08:23:11;2023-04-06 08:42:51;0;100;1180;1;2023-04-06 08:42:52;R_2xz7M9MH27u03du;anonymous;EN;1;1;2;2;;;;;;;;57;60;70;55;42;62;38;45;57;60;53;349;0293-6570-6230-5314;;;;;;;;;;;;;;;;;;;;72;37;77;70;63;77;64;56;57;60;55;2;1;;;2;Lack of proper punctuation. Some of the phrases seemed phoney.;63;64;60;57;73;53;54;54;58;46;45;37;60;43;40;47;2;;1;;3;;52;3;;349;0;conversational AI companion
350;349;349;2023-04-06 08:22:49;2023-04-06 08:44:47;0;100;1317;1;2023-04-06 08:44:47;R_XY7QzDOIwqFActr;anonymous;EN;1;1;2;2;87;90;40;61;79;10;19;;;;;;;;80;90;71;68;350;;;;;;;;;;27.555;27.555;932.058;1;9;80;9;8;51;7;6;;;;;;;;60;70;91;74;3;1;1;I didn't interact with anyone or my computer but I did keep myself busy.;;;;;;;;;;;;;;;;;;;1;It seems like all online chat services offered these days are with bots. They are not real helpful in my opinion. ;2;;3;;57;3;;350;0;nothing
351;350;350;2023-04-06 08:16:27;2023-04-06 08:44:55;0;100;1707;1;2023-04-06 08:44:57;R_22FXmnAN4u556P7;anonymous;EN;1;1;2;2;;;;;;;;37;50;61;32;19;55;39;57;21;33;66;351;;4.572;874.804;877.891;6;F_XZzpktihWJDQNY5;9BAB42E6-D7BA-4658-93BC-6049ED7E434A.jpeg;412955;image/jpeg;;;;;;;;;;;;44;63;31;20;35;40;32;33;29;38;71;2;1;;;;;;;;;;;;;;;;;;;;;2;;2;;3;;41;3;;351;0;youtube
352;351;351;2023-04-06 08:20:31;2023-04-06 08:46:18;0;100;1546;1;2023-04-06 08:46:20;R_81UE8TGV11P2sX7;anonymous;EN;1;1;2;2;;;;;;;;96;91;75;73;100;86;53;100;100;99;97;352;;22.675;1162.46;1165.73;11;F_12K0ZV3bNJ7ozDn;Screenshot (7).png;740663;image/png;;;;;;;;;;;;100;100;72;77;99;83;60;99;96;100;100;3;1;;;;;;;;;;;;;;;;;;;;;1;I've used character.ai and cleverbot;2;;3;;26;1;;352;0;youtube
353;352;352;2023-04-06 08:15:17;2023-04-06 08:48:06;0;100;1968;1;2023-04-06 08:48:07;R_1eUCYxQH7vpQ6jB;anonymous;EN;1;1;2;2;;;;;;;;75;0;75;50;50;75;50;0;0;0;0;353;;274.947;274.947;1414.831;1;F_3e49RC0EBZ7PDjK;Screenshot (5).png;372826;image/png;;;;;;;;;;;;50;0;0;100;50;50;50;0;0;0;0;2;1;;;;;;;;;;;;;;;;;;;;;1;On some websites asking for help and in some other surveys testing chat bots;2;;3;;56;3;;353;0;youtube
354;353;353;2023-04-06 08:28:01;2023-04-06 08:52:27;0;100;1466;1;2023-04-06 08:52:28;R_2YRq6WyKudXNe1B;anonymous;EN;1;1;2;2;10;81;0;11;30;0;0;;;;;;;;10;10;20;8;354;;;;;;;;;;12.524;218.808;291.957;3;0;50;0;0;80;9;7;;;;;;;;8;20;39;40;2;1;1;I relaxed in my chair and got sorta sleepy.  I thought about making dinner later, getting some exercise, the weather.  I did check the time on the computer twice.;;;;;;;;;;;;;;;;;;;1;Customer service bots are becoming common.;2;;3;;68;5;;354;0;nothing
355;354;354;2023-04-06 08:31:51;2023-04-06 08:54:09;0;100;1338;1;2023-04-06 08:54:10;R_28RR6wJ8PF1CRBD;anonymous;EN;1;1;2;2;47;54;49;47;55;47;49;;;;;;;;42;46;55;53;355;;;;;;;;;;15.194;15.194;924.953;1;2;84;9;2;81;4;2;;;;;;;;47;49;45;47;3;1;1;I understood the instructions;;;;;;;;;;;;;;;;;;;2;;2;;1;;56;3;;355;0;nothing
356;355;355;2023-04-06 08:32:01;2023-04-06 08:54:40;0;100;1358;1;2023-04-06 08:54:41;R_vBIJTgJDhXzmABr;anonymous;EN;1;1;2;2;;;;;;;;79;11;72;89;87;93;74;56;56;57;66;356;9617-6314-8502-0822;;;;;;;;;;;;;;;;;;;;77;5;90;66;76;69;78;31;0;0;13;3;1;;;1;They seemed interested in me and answered my questions properly.;73;85;79;80;37;74;41;79;67;40;36;33;44;35;38;68;1;I talked to chatgpt;2;;3;;33;3;;356;ai;another person
357;356;356;2023-04-06 08:34:50;2023-04-06 08:56:26;0;100;1295;1;2023-04-06 08:56:27;R_27djYTkDXv9LNBu;anonymous;EN;1;1;2;2;;;;;;;;25;50;50;29;18;17;9;2;2;0;0;357;0454-1842-3834-0239;;;;;;;;;;;;;;;;;;;;50;50;40;50;58;50;50;0;0;0;0;2;1;;;2;Because the questions and answers were very simple.;31;1;1;20;59;56;81;31;69;70;100;86;19;82;50;12;1;Any customer service I use online is chatbots.;2;;3;;52;5;;357;0;conversational AI companion
358;357;357;2023-04-06 08:24:40;2023-04-06 08:56:34;0;100;1913;1;2023-04-06 08:56:38;R_88tmeq9KPausG9H;anonymous;EN;1;1;2;2;;;;;;;;86;11;91;82;70;84;87;7;58;44;4;358;;46.562;1327.366;1330.688;18;F_1FkZxrIAIh03OeG;Screenshot (4).png;661825;image/png;;;;;;;;;;;;93;8;71;94;91;97;83;6;8;4;4;3;1;;;;;;;;;;;;;;;;;;;;;1;I asked chatbot about the prevalence of ADHD in the US and other western and non-western countries;1;;3;;69;5;;358;0;youtube
359;358;358;2023-04-06 08:27:00;2023-04-06 08:57:21;0;100;1821;1;2023-04-06 08:57:21;R_2v0rpXAHbx3ecLN;anonymous;EN;1;1;2;2;;;;;;;;74;10;61;85;86;76;70;9;0;0;8;359;2705-4052-7100-6023;;;;;;;;;;;;;;;;;;;;56;50;61;79;67;61;70;0;0;0;0;2;1;;;2;I felt like something was off while I was chatting, it just didn't feel like a real human to me. It is hard to explain, it's just like an intuition I have about the whole conversation. It felt more like the whole converation was programmed to respong back and answer my questions.;83;92;100;82;100;50;40;100;76;35;20;20;61;34;10;50;1;Well, I used a chatbot to help me resolved some issues I had with my bank because it was quicker.;1;;2;;45;3;;359;ai;another person
